"truthJudgments"	"truthMean"	"id"	"truthClass"	"truthMedian"	"truthMode"
"[1.0, 1.0, 1.0, 1.0, 1.0]"	"1.0"	"858464162594172928"	"clickbait"	"1.0"	"1.0"
"[0.3333333333, 0.0, 0.3333333333, 0.0, 0.0]"	"0.13333333332"	"858462320779026433"	"no-clickbait"	"0.0"	"0.0"
"[0.3333333333, 0.6666666666, 1.0, 0.0, 0.0]"	"0.39999999997999997"	"858460992073863168"	"no-clickbait"	"0.3333333333"	"0.0"
"[0.0, 0.6666666666, 0.0, 0.3333333333, 0.3333333333]"	"0.26666666664"	"858459539296980995"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[0.0, 0.0, 0.0, 0.0, 0.0]"	"0.0"	"858455355948384257"	"no-clickbait"	"0.0"	"0.0"
"[0.0, 0.6666666666, 0.3333333333, 0.0, 0.0]"	"0.19999999997999998"	"858453552892694528"	"no-clickbait"	"0.0"	"0.0"
"[0.0, 0.0, 0.0, 0.0, 0.0]"	"0.0"	"858450499921731585"	"no-clickbait"	"0.0"	"0.0"
"[0.0, 0.0, 0.0, 0.6666666666, 0.0]"	"0.13333333332"	"858449569750896640"	"no-clickbait"	"0.0"	"0.0"
"[0.6666666666, 0.6666666666, 1.0, 0.6666666666, 0.0]"	"0.59999999996"	"858444379232624641"	"clickbait"	"0.6666666666"	"0.6666666666"
"[0.0, 1.0, 0.3333333333, 0.6666666666, 0.6666666666]"	"0.5333333333"	"858440305447755777"	"clickbait"	"0.6666666666"	"0.6666666666"
"[0.0, 0.0, 0.0, 0.6666666666, 0.6666666666]"	"0.26666666664"	"858439565199249410"	"no-clickbait"	"0.0"	"0.0"
"[1.0, 0.0, 0.0, 0.0, 0.0]"	"0.2"	"858437063829540866"	"no-clickbait"	"0.0"	"0.0"
"[0.0, 0.6666666666, 0.0, 0.0, 0.0]"	"0.13333333332"	"858435726257528832"	"no-clickbait"	"0.0"	"0.0"
"[1.0, 1.0, 1.0, 0.6666666666, 1.0]"	"0.93333333332"	"858433172966707201"	"clickbait"	"1.0"	"1.0"
"[0.0, 0.0, 0.6666666666, 0.3333333333, 0.6666666666]"	"0.3333333333"	"858430831198699520"	"no-clickbait"	"0.3333333333"	"0.0"
"[0.0, 0.0, 1.0, 0.0, 0.6666666666]"	"0.33333333332"	"858429440849825792"	"no-clickbait"	"0.0"	"0.0"
"[0.3333333333, 0.0, 0.3333333333, 0.3333333333, 1.0]"	"0.39999999997999997"	"858425660611678210"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[1.0, 1.0, 1.0, 1.0, 1.0]"	"1.0"	"858421020331560960"	"clickbait"	"1.0"	"1.0"
"[0.6666666666, 0.3333333333, 0.3333333333, 0.0, 1.0]"	"0.46666666664"	"858419369809989632"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[1.0, 0.0, 0.3333333333, 0.6666666666, 0.3333333333]"	"0.46666666664"	"858417064897372162"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[0.0, 0.0, 0.0, 0.0, 0.0]"	"0.0"	"858414650727313408"	"no-clickbait"	"0.0"	"0.0"
"[0.3333333333, 0.0, 0.3333333333, 0.6666666666, 0.0]"	"0.26666666664"	"858406694036140032"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[0.6666666666, 0.6666666666, 1.0, 0.3333333333, 0.3333333333]"	"0.59999999996"	"858405611062558720"	"clickbait"	"0.6666666666"	"0.6666666666"
"[0.0, 0.0, 0.0, 0.3333333333, 0.0]"	"0.06666666666"	"858404067617505280"	"no-clickbait"	"0.0"	"0.0"
"[0.3333333333, 0.3333333333, 0.6666666666, 1.0, 0.3333333333]"	"0.5333333333"	"858403549478301696"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[0.3333333333, 1.0, 1.0, 1.0, 1.0]"	"0.86666666666"	"858403073718353922"	"clickbait"	"1.0"	"1.0"
"[1.0, 0.6666666666, 0.0, 0.0, 0.0]"	"0.33333333332"	"858401369811816448"	"no-clickbait"	"0.0"	"0.0"
"[0.3333333333, 0.0, 0.0, 0.6666666666, 0.0]"	"0.19999999997999998"	"858400560546017284"	"no-clickbait"	"0.0"	"0.0"
"[0.3333333333, 1.0, 1.0, 1.0, 1.0]"	"0.86666666666"	"858395917967384576"	"clickbait"	"1.0"	"1.0"
"[0.0, 0.0, 0.0, 0.3333333333, 0.0]"	"0.06666666666"	"858395466261827585"	"no-clickbait"	"0.0"	"0.0"
"[1.0, 0.3333333333, 0.0, 0.0, 0.0]"	"0.26666666666"	"858395165085630467"	"no-clickbait"	"0.0"	"0.0"
"[0.0, 0.0, 0.0, 0.0, 0.3333333333]"	"0.06666666666"	"858395031098585093"	"no-clickbait"	"0.0"	"0.0"
"[0.0, 0.6666666666, 0.0, 0.0, 0.0]"	"0.13333333332"	"858391536618393600"	"no-clickbait"	"0.0"	"0.0"
"[0.3333333333, 0.3333333333, 0.0, 0.3333333333, 0.3333333333]"	"0.26666666664"	"858390472489881600"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[0.0, 0.0, 0.0, 0.0, 0.3333333333]"	"0.06666666666"	"858388697582096384"	"no-clickbait"	"0.0"	"0.0"
"[0.0, 0.0, 0.3333333333, 0.0, 0.3333333333]"	"0.13333333332"	"858387587987365888"	"no-clickbait"	"0.0"	"0.0"
"[0.0, 1.0, 0.3333333333, 0.3333333333, 0.0]"	"0.33333333332"	"858387219429699584"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[0.0, 0.0, 0.3333333333, 0.0, 0.0]"	"0.06666666666"	"858382080941727745"	"no-clickbait"	"0.0"	"0.0"
"[0.3333333333, 0.0, 0.0, 0.6666666666, 0.3333333333]"	"0.26666666664"	"858380666140020737"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[1.0, 0.0, 0.0, 0.0, 0.3333333333]"	"0.26666666666"	"858380513383510016"	"no-clickbait"	"0.0"	"0.0"
"[0.3333333333, 0.0, 0.0, 0.0, 0.0]"	"0.06666666666"	"858376207183863808"	"no-clickbait"	"0.0"	"0.0"
"[0.0, 0.3333333333, 1.0, 0.0, 0.3333333333]"	"0.33333333332"	"858372115564777472"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[1.0, 0.0, 0.3333333333, 1.0, 0.3333333333]"	"0.53333333332"	"858372109889933312"	"no-clickbait"	"0.3333333333"	"0.3333333333"
"[0.3333333333, 1.0, 0.3333333333, 0.0, 0.6666666666]"	"0.46666666664"	"858368123753435136"	"no-clickbait"	"0.3333333333"	"0.3333333333"
